"","Code","Year","TFR","C","W15","W20","W25","W30","W35","W40","W45","W","iTFR","p2534","qx","lagTFR","CWR","mult","p15","p20","p25","p30","p35","p40","p45","decade"
"77","BLR",1976,2.12,725412.51,438040.2,379273.36,330553.59,234051.3,378001.33,345415.13,386816.64,2492151.55,2.03755167698369,0.226553192561664,0.01796,2.2058,0.29107881099767,7.57801638820648,0.175767882173939,0.15218711719197,0.132637836571375,0.0939153559902888,0.151676702807259,0.138601173752856,0.155213931512311,"1970"
"78","BLR",1977,2.087,725632.87,435356.49,389558.38,347837.58,225987.48,361778.73,357792.49,376553.86,2494865.01,2.03595387711979,0.230002448108405,0.01718,2.161,0.290850553874256,7.42993255888477,0.174501020397893,0.15614407129787,0.139421403004085,0.0905810451043201,0.145009340605566,0.143411562776296,0.15093155681397,"1970"
"79","BLR",1978,2.065,724476.75,432464.98,398434.18,357737.01,239046.26,333319.85,355750.15,381713.27,2498465.7,2.02978061696024,0.238859901098502,0.0176,2.1286,0.289968659565749,7.34079332293272,0.173092222158583,0.159471542875293,0.143182678073187,0.0956772230253151,0.133409816272443,0.142387446023373,0.152779071571805,"1970"
"80","BLR",1979,2.028,722485.19,423828.93,409913.13,360036.48,269051.84,291104.9,369915.81,364566.43,2488417.52,2.03237450683115,0.252806578857394,0.01667,2.0914,0.290339215261593,7.20329838363607,0.17032066628433,0.164728437533264,0.14468491605862,0.108121662798773,0.116983945684485,0.148655041618579,0.146505330021949,"1970"
"81","BLR",1980,2.007,735914,420702,416858,364066,299985,260503,379648,353162,2494924,2.06475147138751,0.266160812914542,0.01614,2.0614,0.294964495912501,6.9886377125588,0.168623172489423,0.167082444194693,0.14592268141234,0.120238131502202,0.104413200562422,0.152168162236605,0.141552207602316,"1980"
"82","BLR",1981,2.008,748696,409066,427631,375252,333993,232976,374737,339035,2492690,2.10249649976531,0.284529965619471,0.01646,2.039,0.300356642823616,6.78859631946745,0.164106246665249,0.171554023966077,0.150540981830873,0.133988983788598,0.093463687823195,0.150334377720455,0.136011698205553,"1980"
"83","BLR",1982,1.991,760989,400635,433756,388148,352616,225348,357386,351007,2508896,2.12321395546089,0.295254964733492,0.01563,2.0198,0.303316279351555,6.6590557035647,0.159685774141296,0.172887198193947,0.15470868461666,0.140546280116832,0.0898195859852302,0.142447514763466,0.13990496218257,"1980"
"84","BLR",1983,2.154,773357,385315,434692,400240,363223,238643,328017,349052,2499182,2.16610835065233,0.305485154742632,0.0152,2.0376,0.30944405009319,6.58471216165367,0.154176446533306,0.173933711110275,0.160148400556662,0.14533675418597,0.0954884438188175,0.131249744916537,0.139666498878433,"1980"
"85","BLR",1984,2.096,789436,376245,425916,412598,365409,268179,287886,361898,2498131,2.21207454693129,0.311435629276447,0.01498,2.0512,0.316010649561612,6.49092048905801,0.15061059648193,0.170493861210641,0.165162675616291,0.146272953660156,0.107351856247731,0.115240553838049,0.144867502945202,"1980"
"86","BLR",1985,2.055,804311,365566,417106,420448,367923,298580,258779,371822,2500224,2.25186903253468,0.315320147314801,0.01425,2.0608,0.321695576076384,6.4060563876411,0.146213299288384,0.166827452260277,0.168164132493729,0.147156014821072,0.119421299851533,0.103502326191573,0.148715475093432,"1980"
